Post_ID,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_rate,Day,Month,Virality_Score
Post_1,2022-01-13,TikTok,1,Video,UK,4163464,339431,53135,19346,High,0.09893492534101411,Thursday,1,0.03864464782210198
Post_2,2022-05-13,Instagram,1,Shorts,India,4155940,215240,65860,27239,Medium,0.07419236081367873,Friday,5,0.02836609768187221
Post_3,2022-01-07,Twitter,1,Video,Brazil,3666211,327143,39423,36223,Medium,0.10986519870242056,Friday,1,0.04197003391239621
Post_4,2022-12-05,YouTube,1,Shorts,Australia,917951,127125,11687,36806,Low,0.1913152227079659,Monday,12,0.06850692466155602
Post_5,2023-03-23,TikTok,1,Post,Brazil,64866,171361,69581,6376,Medium,3.8127524434989053,Thursday,3,1.505441988098542
Post_6,2022-11-23,Instagram,1,Shorts,Australia,1323566,136282,86979,47129,Low,0.2042890192102245,Wednesday,11,0.07459408899896189
Post_7,2022-06-09,YouTube,1,Tweet,Japan,627233,84121,97973,32648,Medium,0.342364001894033,Thursday,6,0.1265354342006878
Post_8,2022-01-14,YouTube,1,Shorts,UK,2066886,317502,45222,33638,High,0.19176771239439427,Friday,1,0.07345214007932707
Post_9,2022-09-01,Twitter,1,Live Stream,India,2169523,496078,96041,30174,Medium,0.2868340183533431,Thursday,9,0.11195198207163509
Post_10,2023-01-01,TikTok,1,Shorts,India,3898384,8634,69378,42700,Low,0.03096462534219307,Sunday,1,0.010195198831105402
Post_11,2023-08-09,Instagram,1,Live Stream,Germany,4070332,379894,46012,25242,High,0.11083813310560416,Wednesday,8,0.04309496129554051
Post_12,2023-02-26,Twitter,1,Reel,Australia,4585669,465871,69083,8999,Medium,0.11862020568863561,Sunday,2,0.04705559864874678
Post_13,2022-03-16,YouTube,1,Shorts,Canada,4105651,195560,37627,49089,High,0.06875304306186765,Wednesday,3,0.02510992775567139
Post_14,2022-11-08,YouTube,1,Reel,Japan,1633015,312907,45774,30725,High,0.23845831177300883,Tuesday,11,0.09162034641445424
Post_15,2023-12-19,Twitter,1,Post,Germany,2471790,370802,54110,17081,High,0.17881494787178523,Tuesday,12,0.0701439038105988
Post_16,2022-04-05,YouTube,1,Live Stream,Canada,3079923,124237,44062,26702,Medium,0.06331359582690865,Tuesday,4,0.02359149887838105
Post_17,2023-07-09,Twitter,1,Reel,UK,294870,213142,20351,20767,Low,0.8622782921287347,Sunday,7,0.3308257876352291
Post_18,2022-09-17,TikTok,1,Shorts,UK,2051091,24472,54704,41737,Medium,0.05895057800945935,Saturday,9,0.019510494658696274
Post_19,2022-05-08,TikTok,1,Post,USA,3461154,165335,50077,19505,Low,0.06787244947783312,Sunday,5,0.02602189905447721
Post_20,2023-04-24,YouTube,1,Tweet,UK,3143932,298685,84720,37162,Low,0.13377102303739394,Monday,4,0.051144363173249295
Post_21,2023-08-15,Twitter,1,Video,Brazil,14095,268310,90495,16968,Low,26.660021284143312,Tuesday,8,10.42324228449805
Post_22,2022-01-26,TikTok,1,Live Stream,USA,3924406,35376,72832,3949,Medium,0.02857935697784582,Wednesday,1,0.011230489404001525
Post_23,2023-08-02,YouTube,1,Shorts,Brazil,599766,223690,22531,10538,Low,0.42809862513046754,Wednesday,8,0.1677254129110353
Post_24,2022-01-07,Twitter,1,Shorts,Japan,4357851,449803,63438,28280,High,0.12426331235280876,Friday,1,0.048407437519089117
Post_25,2023-07-19,YouTube,1,Tweet,Germany,731492,474649,98377,3654,High,0.7883613217916259,Wednesday,7,0.31434547472836344
Post_26,2022-09-08,YouTube,1,Live Stream,Brazil,4910814,197287,53218,14896,Low,0.0540441971534658,Thursday,9,0.021011017725370985
Post_27,2023-05-14,Instagram,1,Video,India,4369260,212278,21264,18172,Low,0.057610213171109065,Sunday,5,0.022212273931970176
Post_28,2022-05-22,YouTube,1,Post,Canada,1874437,322601,35671,48768,Medium,0.21715320386868164,Sunday,5,0.08165779911514766
Post_29,2023-09-30,Instagram,1,Live Stream,Canada,1653907,91836,77370,2823,Low,0.1040137081468305,Saturday,9,0.041264109771589334
Post_30,2023-10-23,YouTube,1,Shorts,Japan,4683280,311330,3357,5110,Medium,0.06828483456039357,Monday,10,0.027095710698484824
Post_31,2022-03-22,Instagram,1,Reel,Australia,1365655,156164,84930,18303,Low,0.18994328728705273,Tuesday,3,0.07329684290688351
Post_32,2022-03-10,Twitter,1,Video,USA,2342195,91944,89578,44440,Medium,0.09647446092233994,Thursday,3,0.03479505335806797
Post_33,2022-07-08,YouTube,1,Live Stream,USA,4977438,8731,4500,46045,Low,0.011908937891340886,Friday,7,0.0029134265459459263
Post_34,2022-11-11,YouTube,1,Reel,Australia,3005703,16688,77970,15891,Low,0.036779748365024754,Friday,11,0.013654509444213215
Post_35,2023-11-18,YouTube,1,Tweet,UK,936390,368646,92202,2016,Low,0.4943068593214366,Saturday,11,0.19729215391022975
Post_36,2023-07-01,TikTok,1,Live Stream,Japan,1855796,158156,6423,20518,High,0.09973994986517914,Saturday,7,0.037684745521598284
Post_37,2022-06-09,Instagram,1,Reel,Germany,48908,205884,37256,14618,Low,5.270262533736812,Thursday,6,2.0483274719882227
Post_38,2023-07-15,Instagram,1,Video,India,1367820,10794,7617,36639,Medium,0.04024652366539457,Saturday,7,0.010741325613019258
Post_39,2022-09-28,TikTok,1,Shorts,USA,4499253,469481,89583,41549,High,0.13349171518027547,Wednesday,9,0.05154975725970511
Post_40,2022-01-31,Twitter,1,Post,USA,4510477,274631,82143,13932,Low,0.082187759742484,Monday,1,0.03225734218354289
Post_41,2022-03-03,Twitter,1,Reel,India,4380015,355402,41860,42729,High,0.1004542221887368,Thursday,3,0.03823059966689612
Post_42,2022-03-17,YouTube,1,Live Stream,Australia,943395,402996,18661,11999,High,0.45967595757874485,Thursday,3,0.18132659172456925
Post_43,2022-09-10,Twitter,1,Post,Brazil,3961278,49656,93072,23952,Medium,0.04207732958908716,Saturday,9,0.015621625142188962
Post_44,2023-10-23,YouTube,1,Shorts,Brazil,4080112,171609,17994,41339,Medium,0.056601877595516985,Monday,10,0.020614385095311112
Post_45,2023-03-06,Twitter,1,Shorts,Germany,3934142,380972,42858,26194,Low,0.11438936367828106,Monday,3,0.04442412093920352
Post_46,2023-12-13,Instagram,1,Tweet,Brazil,272327,274271,56073,17526,High,1.2773981279858406,Wednesday,12,0.49808796042992437
Post_47,2023-06-02,Instagram,1,Reel,Japan,1600237,325368,62818,25686,Medium,0.25863169018089194,Friday,6,0.10024240159426387
Post_48,2023-11-07,Instagram,1,Live Stream,India,2212857,74624,24137,35546,Medium,0.06069393548701972,Tuesday,11,0.021064894839567132
Post_49,2023-04-29,Twitter,1,Live Stream,USA,4711157,313821,86074,36395,High,0.09260782436246552,Saturday,4,0.03549807403998636
Post_50,2022-08-15,Instagram,1,Reel,Japan,2747788,422463,21545,40997,Low,0.17650743070426103,Monday,8,0.06761897206043552
Post_51,2022-05-23,YouTube,1,Post,Australia,2081426,225061,67840,28774,Medium,0.1545454894865347,Monday,5,0.059053360532634845
Post_52,2023-01-14,YouTube,1,Live Stream,Canada,2258494,159509,25505,8605,Medium,0.0857292514392334,Saturday,1,0.03352968836755821
Post_53,2022-11-06,YouTube,1,Tweet,Japan,1357850,472399,90644,33331,Low,0.4392046249585742,Sunday,11,0.17077247118606623
Post_54,2023-09-17,Twitter,1,Reel,Canada,392337,332566,43169,45161,Medium,1.0727920129888335,Sunday,9,0.4060952701376623
Post_55,2023-01-13,Twitter,1,Reel,USA,4006009,491965,60534,31438,High,0.1457652741169578,Friday,1,0.056736567491485916
Post_56,2023-08-25,YouTube,1,Tweet,Australia,3934991,389693,81891,32967,Medium,0.12822164015114648,Friday,8,0.04961307408326982
Post_57,2022-06-30,Instagram,1,Live Stream,Australia,2824818,34126,53516,29452,Low,0.04145187406763905,Thursday,6,0.014495517941332858
Post_58,2022-10-30,Twitter,1,Video,Australia,197986,184395,9408,7599,Medium,1.017253745214308,Sunday,10,0.3992251977412544
Post_59,2023-12-26,YouTube,1,Post,Germany,2291491,474568,83894,6150,High,0.24639503275378347,Tuesday,12,0.09802124468304699
Post_60,2023-05-31,Twitter,1,Live Stream,UK,3525573,40967,4121,26381,Low,0.020271598404004117,Wednesday,5,0.006612088304511069
Post_61,2023-04-21,TikTok,1,Reel,USA,866896,122451,79602,25491,Low,0.26248131263727137,Friday,4,0.09911154279175358
Post_62,2023-10-24,YouTube,1,Video,Australia,4104535,331535,60374,13314,Medium,0.09872567781734107,Tuesday,10,0.03884152528849187
Post_63,2023-02-23,TikTok,1,Tweet,India,2601441,93254,55921,48758,Low,0.07608590777188488,Thursday,2,0.026685825279143368
Post_64,2023-12-05,Instagram,1,Shorts,Canada,1142030,212596,72334,18,High,0.24951008292251517,Tuesday,12,0.09980088088754238
Post_65,2023-12-11,YouTube,1,Shorts,Canada,2969591,358102,26688,8128,Low,0.13231384389298054,Monday,12,0.052378122105030636
Post_66,2022-11-03,TikTok,1,Post,Japan,855465,14117,73654,46422,High,0.15686556434219986,Thursday,11,0.05189318090161491
Post_67,2023-05-26,YouTube,1,Video,Brazil,4453459,376054,36502,19620,High,0.09704277057451298,Friday,5,0.037935995368992954
Post_68,2023-06-10,Twitter,1,Reel,Japan,1059696,75851,99754,47614,High,0.21064437348069634,Saturday,6,0.07527139858978424
Post_69,2022-01-20,Twitter,1,Tweet,USA,581577,341805,67524,485,High,0.7046599160558276,Thursday,1,0.281697178533539
Post_70,2022-02-05,YouTube,1,Tweet,Australia,4226427,421149,53769,27804,Medium,0.11894728100118611,Saturday,2,0.04626319110681434
Post_71,2022-05-16,Twitter,1,Reel,Japan,485214,50577,92342,43775,Medium,0.3847663092985775,Monday,5,0.13586293882699182
Post_72,2022-01-19,Instagram,1,Tweet,Australia,1419701,68719,98115,36515,Low,0.14323368089477995,Wednesday,1,0.05214943146479435
Post_73,2022-12-07,TikTok,1,Post,Germany,4378457,136878,89273,41624,Medium,0.061157389463913886,Wednesday,12,0.022561646717096918
Post_74,2022-06-12,TikTok,1,Post,India,3647159,216783,79133,7687,High,0.08324369735457104,Sunday,6,0.03287594535911376
Post_75,2023-05-08,YouTube,1,Video,USA,1750105,125485,942,20317,Low,0.0838486833647124,Monday,5,0.031217669796955044
Post_76,2023-05-12,Instagram,1,Tweet,India,1796369,145118,68421,16720,High,0.12818023468452194,Friday,5,0.049410560970491034
Post_77,2022-05-10,Twitter,1,Shorts,India,1535141,15408,23087,23147,Medium,0.040153966313192076,Tuesday,5,0.013045967764524562
Post_78,2023-08-29,Twitter,1,Video,Australia,612594,132163,29340,40557,Medium,0.32984325670835823,Tuesday,8,0.11869623274142418
Post_79,2022-01-27,Instagram,1,Reel,USA,4219632,171996,5043,3436,Medium,0.04277031741156575,Thursday,1,0.016945269160912612
